TBI (n),HC (n),WITHIN NETWORK FINDINGS,RESULT,TBI Class,Severity,Age,Chronicity,CSX/Long,Control Type,Scanner,Eyes Open/Closed/Fixated,Scanning parameters (TR),OLD TIME OF SCAN,Duration of scan (s),# of volumes,Preprocessing Software,Global signal regression,Motion regression,White matter regression,CSF regression,,,,,Comp Type,,,,,,,
68,19,"van der Horn (2019) Groningen, Netherlands",No signficant difference for SN at time point 1,CIVILIAN prospectively enrolled from lv. 1 trauma center in Netherlands,Mild/Moderate,"ADULT n = 68, avg 44.3 (range 22-61), 60% male    (GCS: 63 mild, 5 mod)",Subacute (22-69 days),CSX + Long (93% of patients stayed for long),HC healthy controls,"3 Tesla Philips Intera Achieva MRI‐scanner (Philips Medical Systems, Best, The Netherlands)",closed,2000 ms,unfound,unfound,unfound,SPM12,unfound,unfound,unfound,unfound,closed eyes,,,,,,,,,,,DF
,,,No signficant difference for SN at time point 2,,,,Subacute/Chronic (61-207 days),,,,,,,,,,,,,,,,,,,,,,,,,
49,20,"van der Horn (2017) #2 Groningen, Netherlands",No diff in CSX group after MCC as compared to HC at time point 1  (SN),(Civilian) recruited from level 1 trauma centers,Mild,"Adult n = 30 ≥3 complaints@2wk, n = 19 no complaints@2wk",Subacute (1 mo),Long,"Healthy n = 20, median age 30 (range 18-61), age sex ed handedness matched","3.0 T Philips Intera MRI scanner (Phillips Medical Systems,Best, The Netherlands)",closed,2000 ms,600 s,600,300,SPM12,unfound,unfound,unfound,unfound,"closed eyes, 10  min","slice timing correction, imagerealignment to the ﬁrst functional image, co-registration of func-tional images with individual participants’ T1-weighted images,normalization using a diffeomorphic nonlinear registration tool(DARTEL) (isotropic voxels of 3 ·3·3 mm) to the MontrealNeurological Institute [MNI] template and smoothing (8 mm full-width at half maximum [FWHM] Gaussian kernel)",SPM12,FC,ICA?,"DMN, EN, SN","Regarding within-component FC, we found signiﬁcant longitu-dinal decreases in the DMN in patients with mTBI. ""A trend toward signiﬁcance was observed for FC between the bilateral frontal network and DAN, which washigher in PTC-absent patients than in HC ( puncorr=0.008;CL =0.74) during visit one and visit two ( puncorr=0.005;CL =0.75). "" no between-component long. results. No within-component EN or SN results","Post-traumatic complaints, treatment (Cognitive behavioral therapy vs. telephonic counseling). ""The most clinically relevant ﬁnding of our study was that in thePTC-present group, higher FC between the anterior and posteriorpart of the DMN during the initial scan was related to a greaternumber of post-traumatic complaints at 3 months post-injury."" No anxiety/depression correlations in this study.","In theory, longitudinaldecreases in DMN FC could be interpreted as delayed injury ef-fects, as fading injury effects, or as fading compensatory increasesin connectivity that might have occurred in the ﬁrst days to weeksafter injury.",,,DF
,,,No diff in CSX group after MCC as compared to HC at time point 2  (SN),,,,Chronic (3 mo),,,,,,,,,,,,,,,,,,,,,,,,,
54,20,"van der Horn (2016) Groningen, Netherlands",No significant difference within SN as compared to HC,(Civilian) recruited from ED,Mild,Adult n = 54 (36 male; mean age 37 ±15 years 34 with complaints),Subacute (4 weeks),CSX,"Healthy n = 20, age sex and ed matched","3.0 T Philips Intera MRI (Phillips Medical Systems, Best, The Nether-lands)",closed,2000 ms,unfound,unfound,unfound,MATLAB (Statistical Parametric Mapping),unfound,unfound,unfound,unfound,"closed eyes, ""Three-hundred vol-umes were acquired with slices aligned in the anteriorcommisure  (AC)–posterior  commisure  (PC)  plane  andrecorded in descending order (TR 2,000 ms; TE 20 ms;FOV 224 mm3224mm; voxel size 3.5 mm33.62 mm33.5 mm)""","Slice timing, head motion, T1-co registration, normalized using diffeomorphic nonlinear registration tool (DARTEL), smoothing with 8mm full-width half max Gauss. kernel",SPM12,FC (static and dynamic),ROItoROI?,"DMN, Executive (frontoparietal and bilateral frontal network), Salience",No differences in within-network functional connectivity between groups.,"Post-traumatic complaints, anxiety, depression. Patients with post-traumatic complains had reduced functional conn between bilateral frontal and salience network compared to TBI patients without complaints. Higher HADS-D (depression) scores were related to lower FC between bilateral frontal network and right frontoparietal + salience networks. High HADS-D also associated with reduced FC between right frontoparietal and salience network. Higher HADS-A (anxiety) scores associated with lower conn within ""medial prefrontal areas of bilateral frontal network"".",,,,
27,30,"Stevens (2012) Hartford, CT","Increase intranetwork FC for salience: right superior/middle frontal gyri, left putamen",CIVILIAN ER patients,Mild,"ADULT n =  30, 2/3 M, mean age = 31.7 (13.94)",Subacute/Chronic (13-136 days post injury),CSX,"HEALTHY n = 30, age =  28.9 (9.92); 67 % male, age matched",Siemens Allegra 3T,fixated,1500 ms,315 s,315,210,SPM8,unfound,unfound,unfound,unfound,"open, fixed gaze, 5:15 min","Rotational/Translational Correction + head cushion to prevent movement,  INRIAlign for realignment, normalization,  smoothed with an 8 mm FWHM Gaussian filter, data were reduced through two principal component analysis (PCA) data reduction stages",GIFT v1.3i toolbox implemented in Matlab,connectivity,"Group ICA, novel ""multivariate"" technique","Ventromedial Cortex Network, Visual, Limbic, Cinguloopercular, motor/task, frontoparietal, DMN, working memory left frontoparietal, frontostriatal, Secondary visual processing","mTBI patients demonstragte significant differences in all  15  ICA components/networks compsared to controls. (Fig  2)Furthermore,  differences in all 15 networks correlated w/  worse  PCS symptoms. (Fig 3)",Post-concussive syndrome complaints,,"Pretty extensive findings, seems broad/overzealous. Might serve however as an excellent baseline study for forming more specific hypotheses.",,
50,43,"Li (2020b) Nanjing, China",Decreased FC within salience network (right insula [R_ insula]).,(Civilian) ED patients with mTBI,Mild,"Adult n=53, age: 20-58 years , 28 females",Acute (within 7 days),CSX,"Healthy n=43, age: 41.65 (7.87), 24 female","3.0 T MRI scanner (Ingenia, Philips)",closed,2000 ms,486 s,486,243,D PABI(?),yes,yes,yes,yes,"8 min and 6 s, eyes closed","slice-timing corrected and calibrated for head motion correction. Participant data demonstrating head movement >2.0 mm translation or >2.0° rotation were excluded from
the analysis. The rest of the dataset was spatially normalized to a template from the Montreal Neurological Institute (resampled voxel size = 3×3 × 3 mm3), followed by a 6-mm spatial sequence with a
Gaussian smoothing kernel. Finally, several sources of spurious variances were removed by linear regression, which included six head motion parameters, and average signals from white matter, cerebrospinal fluid, and whole brain.",DPABI_ V4.3_200301,FC,ICA,"Among the 34 components resulting from ICA, selected 13 components (7 nonartifactual RSNs). AN, attention network; CN, cerebellum network; DMN, default mode network; ECN, executive control network; SMN, sensorimotor network; SN, salience network; VN, visual network","WITHIN: Significant differences between the mTBI and HC groups were found within five RSNs, including the SN, DMN, ECN, VN, and CN. mTBI group exhibited decreased FC within the SN (right insula [R_ insula]), ECN (left superior parietal lobe [L_SPL] and left superior frontal gyrus [L_SFG]), VN (right precuneus [R_precuneus]), and CN (right cerebellum anterior lobe [R_CAL]). Moreover, there was increased FC in the right middle frontal gyrus (R_MFG) in the DMN in the mTBI group compared with the HC group. BETWEEN: the mTBI group exhibited significantly decreased negative interactions in three RSN connections, including the SN-CN connection, VN-SMN connection, and ECNDMN connection.",d,,,,HH
47,47,"Vergara (2017) NM, USA",No Diff within Salience network SN,(Civilian) mTBI emergency room patients,Mild,"Adult n=50, 25 females, mean age 27.9 ± 9.2",Subacute (probably - within 21 days of injury),CSX,Healthy n=50,3 Tesla Siemens Trio,fixated,2000 ms,300 s,300,150,SPM,no,yes,no,no,"5-min, stare at cross","Data were pre-processed using statistical parametric mapping34 (http://www.fil.ion.ucl.ac.uk/spm) including slice-timing correction, realignment, co-registration, spatial normalization, and then transformed to the Montreal Neurological Institute standard space at a resolution of a 3 · 3 · 3 mm3 . Despiking consisted of the orthogonalization with respect to spike regressors. Each spike is represented by an independent regressor valued one at the spike time point and zero everywhere else. The DVARS method35 was used to find spike regressors where the root mean square exceeded three standard deviations. Time courses were also orthogonalized with respect to the following: (1) linear, quadratic, and cubic trends; (2) the six realignment parameters; (",SPM,FC,gICA,"43 non-artifactual RSNs from ICA. 10 groups: subcortical, auditory, sensorimotor, cerebellum, visual, salience, executive control, default mode network (DMN), precuneus and language","TBI group demonstrated increased connectivity between DMN (left angular gyrus) and posterior precuneus. Also, significant increase in rsFNC between cerebellum versus sensorimotor networks and between left angular gyrus versus precuneus.",NA,,re-analysis of published data,,HH
21,23,"Grossner (2019), Pennsylvania, USA",No difference in within network salience FC.,CIVILIAN (i think) moderate to severe TBI individuals,Moderate/Severe,"ADULT n=21, MAge: 32.9, 12 Males","Subacute/Chronic (mean 49.9 months, 2mo-22years)",CSX,"HC n=23, Mage: 36.9","2: Philips Achieve 3T scanner or a Siemens
Magnetom Trio 3T scanner",fixated,2000 ms,600 s,600,300,SPM8,no,no,yes,yes,"10 mins, fixate on a white
cross in the center of a black screen and asked to remain awake","All preprocessing steps used SPM8. Using ArtRepair, bad slices were repaired using the art-slice procedure. Volumes were then slice-time corrected and realigned. Despiking eliminated artifacts using ArtRepair’s despike filter. Coregistration was done in SPM8 using each participant’s T1-weighted image and the mean functional image. This coregistered image was segmented in SPM8 to normalize the image into the Montreal Neurological Institute (MNI) space. These images were then resliced to 3 mm isotropic. To improve signal-to-noise ratio and reduce effects of anatomical differences, we applied a 6-mm isotropic smoothing filter to the normalized data. To address artifactual signal, time series from cerebrospinal fluid and cerebral white matter was sampled, averaged, and treated as regressors of no interest. The time series was then bandpass filtered from 0.01 to 0.12 Hz using the functional connectivity toolbox (CONN; https://www.nitrc.org/ projects/conn). Finally, as a step to address framewise motion, volume repair was performed using ArtRepair, and individuals with movement presented in greater than 20% of volumes were removed from the analysis.",SPM8,within and between network functional connectivity,Graph,"First used a functionally defined atlas (Power et al., 2011) to define 264 regions of interest (ROIs) in the brain. From these regions, six subsystem networks were created, including two DMN networks (anterior and posterior), the attention network, the salience network, the frontoparietal control network, and a “residual” network.",TBI Group had signifantly higher intranetwork connectivity of attention network.,"Metacognitive accuracy: Significant interaction between head injury status and internetwork connectivity between the anterior DMN and salience network on metacognitive accuracy. significant interaction between head injury status and
internetwork connectivity between the posterior DMN and salience network on metacognitive accuracy. For all
significant interactions, there were positive correlations for the relationship between connectivity and metacognitive accuracy in the TBI
group but negative slopes in the HC group.",Enhanced connectivity to both anterior and posterior regions within the DMN facilitates metacognitive accuracy postinjury. These findings are integrated into a larger literature examining network plasticity in TBI.,,,
58,32,"Li (2020) Nanjing, China",decreased conn b/t right insula and right parahippocampal gyrus within salience,(Civilian) mTBI patients recruited from ED,Mild,"Adult n=58, age: 37.71 (10.92), 28 females",Acute (within 7 days),CSX,"Healthy n=32, age: 42 (9.61), 16 females","3.0 T MRI scanner (Ingenia, Philips)",unfound,2000 ms,486 s,486,243,"SPM8, REST",yes,yes,yes,yes,"8 min and 6 s, eyes closed","slice-timing adjustment, head movement adjustment (If participants’ head displacement exceeds 2.0 mm or rotation in the x, y, or z direction is higher than 2.0° , excluded from this study), spatial normalization into stereoscopic space by the Montreal neurological institute (MNI)(resampling voxel size = 3 × 3 × 3 mm3 ) and smoothed with a 4 mm wide gaussian kernel at a semi-maximum (FWHM), detrending and filtering (0.01–0.08 Hz).","SPM8, REST Software",FC,Seed-based,Insula; WFU PickAtlas software,mTBI patients demonstrated decreased FC between the right insula and the right parahippocampal gyrus and increased FC between the right insula and the right supramargianl gyrus,NA,These early changes perhaps serve as a potential biomarker for improving the understanding of cognitive decline for mTBI in the acute setting.,,,
