TBI (n),HC (n),WITHIN NETWORK FINDINGS,RESULT,TBI Class,Severity,Age,Chronicity,CSX/Long,Control Type,Scanner,,,,,Comp Type,,,,,,,
21,23,Sharp (2011) UK?,No significant difference within VN,Civilian (recurring symptoms from TBI follow-up clinics),All (18 mod/sev and 3 mild),"Adult 21, mean age: 37.57 ± 10.19 (16 male)",Chronic  (>6 months),CSX,"Healthy •Resting State) n = 23(12 M, mean age 35.2 ± 10.5, range: 20-58)   •Reference Networks) n = 19 (12 M, mean age 24.5 ± 2.75, age-range 21-30)    •DTI and Task-Based used separate controls as well","MRI data were obtained using a Philips (Best, The Netherlands) Intera 3.0 Tesla MRI scanner using Nova Dual gradients, a phased array head coil, and sensitivity encoding (SENSE) with an under-sampling factor of 2. Functional MRI images were obtained using a T2*-weighted gradient-echo echoplanar imaging (EPI) sequence with whole-brain coverage (TR/TE = 2000/30; 31 ascending slices with thickness 3.25 mm, gap 0.75 mm, voxel size 2.5×2.5×5 mm, flip angle 90°, field of view 280×220×123 mm, matrix 112×87).","closed, 10 min",,FMRIB Software Library,connectivity,ICA + Dual Regression,"DMN, frontoparietal, executive, visual, sensorimotor  generated from unique set of controls + ICA","TBI Patients demonstrate increased DMN connectivity at rest (PCC and preciuneus to rest of DMN.  Greater DMN conn correlated w/ fewer symptoms, less axonal damage.",Greater PCC <-> conn linked to faster reaction times + greater reported anxiety,"Increased DMN conn at rest in TBI patients is correlated with fewer symptoms and less damage as measured by DTI analysis, and therefore might be a compensatory response.","They mentioned the specific types of injury as determined by a neuroradiologist across the TBi sample: ""On initial CT imaging 11 patients had evidence of cerebral contusions, 10 had diffuse brain swelling, seven had skull fractures, six had either subdural or extradural haemorrhage, six had either intraventricular or subarachnoid haemorrhage and one patient had evidence of early hydrocephalus that was subsequently resolved.""",,
68,19,"van der Horn (2019) Groningen, Netherlands",No signficant difference for VN,CIVILIAN prospectively enrolled from lv. 1 trauma center in Netherlands,Mild/Moderate,"ADULT n = 68, avg 44.3 (range 22-61), 60% male    (GCS: 63 mild, 5 mod)",Subacute (22-69 days),CSX + Long (93% of patients stayed for long),HC healthy controls," 3 Tesla Philips Intera Achieva MRI‐scanner (Philips Medical Systems, Best, The Netherlands)",closed eyes,,,,,,,,,,,
,,,No signficant difference for VN,,,,Subacute/Chronic (61-207 days),,,,,,,,,,,,,,,
35,35,"Shumskaya (2012) Nijmegen, Netherlands","No significant differences within VN (RSN 1 = visual cortex, RSN 2 = medial visual cortex)",CIVILIAN ED patients with mTBI (GCS 13-15),Mild,"ADULT n = 35, mean age = 39 (18-60), Male = 22",Acute/Subacute (2-28 days),CSX,HC n = 35,Siemens 3T Trio,6 mins; eyes closed,"head motion correction, extraction of nonbrain tissue, spatial smoothing using a Gaussian kernel of 5-mm fullwidth at half-maximum, grand-mean intensity normalization of the entire dataset by a single multiplicative factor, and high-pass temporal filtering",FMRIB Software Library,connectivity,ICA,"16 networks from ICA incl. DMN, DAN, frontoparietal, executive function network, auditory network, sensorimotor cortex, visual cortex","mTBI Group: Decrease in FC within motor-striatal network, and cluster of increased FC in right frontoparietal network",Neuropsych performance,whole-brain functional connectivity is altered early (within 4 weeks) after MTBI,,,
27,30,"Stevens (2012) Hartford, CT",Decreased intranetwork FC in the bilateral cuneus,CIVILIAN ER patients,Mild,"ADULT n =  30, 2/3 M, mean age = 31.7 (13.94)",Subacute/Chronic (13-136 days post injury),CSX,"HEALTHY n = 30, age =  28.9 (9.92); 67 % male, age matched",Siemens Allegra 3T,"open, fixed gaze, 5:15 min","Rotational/Translational Correction + head cushion to prevent movement,  INRIAlign for realignment, normalization,  smoothed with an 8 mm FWHM Gaussian filter, data were reduced through two principal component analysis (PCA) data reduction stages",GIFT v1.3i toolbox implemented in Matlab,connectivity,"Group ICA, novel ""multivariate"" technique","Ventromedial Cortex Network, Visual, Limbic, Cinguloopercular, motor/task, frontoparietal, DMN, working memory left frontoparietal, frontostriatal, Secondary visual processing","mTBI patients demonstragte significant differences in all  15  ICA components/networks compsared to controls. (Fig  2)Furthermore,  differences in all 15 networks correlated w/  worse  PCS symptoms. (Fig 3)",Post-concussive syndrome complaints,,"Pretty extensive findings, seems broad/overzealous. Might serve however as an excellent baseline study for forming more specific hypotheses. ",,
,,,Increased intranetwork FC in the posterior cerebellum declive and middle occipital gyrus,,,,Subacute/Chronic (13-136 days post injury),,,,,,,,,,,,,,,
,,,Increased internetwork FC from VN to precunneus (bilaterally) and posterior cingulate (DMN) VIS,,,,Subacute/Chronic (13-136 days post injury),,,,,,,,,,,,,,,
50,43,"Li (2020b) Nanjing, China",Significant decrease FC within VN (right precuneus),(Civilian) ED patients with mTBI,Mild,"Adult n=53, age: 20-58 years , 28 females",Acute (within 7 days),CSX,"Healthy n=43, age: 41.65 (7.87), 24 female","3.0 T MRI scanner (Ingenia, Philips)","8 min and 6 s, eyes closed","slice-timing corrected and calibrated for head motion correction. Participant data demonstrating head movement >2.0 mm translation or >2.0° rotation were excluded from
the analysis. The rest of the dataset was spatially normalized to a template from the Montreal Neurological Institute (resampled voxel size = 3×3 × 3 mm3), followed by a 6-mm spatial sequence with a
Gaussian smoothing kernel. Finally, several sources of spurious variances were removed by linear regression, which included six head motion parameters, and average signals from white matter, cerebrospinal fluid, and whole brain.",DPABI_ V4.3_200301,FC,ICA,"Among the 34 components resulting from ICA, selected 13 components (7 nonartifactual RSNs). AN, attention network; CN, cerebellum network; DMN, default mode network; ECN, executive control network; SMN, sensorimotor network; SN, salience network; VN, visual network","WITHIN: Significant differences between the mTBI and HC groups were found within five RSNs, including the SN, DMN, ECN, VN, and CN. mTBI group exhibited decreased FC within the SN (right insula [R_ insula]), ECN (left superior parietal lobe [L_SPL] and left superior frontal gyrus [L_SFG]), VN (right precuneus [R_precuneus]), and CN (right cerebellum anterior lobe [R_CAL]). Moreover, there was increased FC in the right middle frontal gyrus (R_MFG) in the DMN in the mTBI group compared with the HC group. BETWEEN: the mTBI group exhibited significantly decreased negative interactions in three RSN connections, including the SN-CN connection, VN-SMN connection, and ECNDMN connection.",d,,,,
13,50,"Vakhtin (2016) Albuquerque, NM",No significant differences in VN.,Military (veterans with blast related mTBI),Mild,"Adult n = 34.3 ±6.6 years, male",Not Specified,CSX,"Healthy n = 50, 29.7 ±8.4 yrs, male (control from Allen (2011))",3-Tesla Siemens Trio,"5m 34s, eyes open on cross",same as Allen (2011),same as Allen (2011),"FC mostly. Specifically.. 3 fMRI domains: blood oxygenation level-dependent spatial maps, time course spectra, and functional connectivity",ICA  (GIFT software),"28 networks across brain (6 sensorimotor, 6 attention, 6 visual, 4 frontal, 4 default-mode (DMN), auditory, and the basal ganglia networks.)","""The mTBI group exhibited hyperactivity in the temporo-parietal junctions and hypoactivity in the left inferior temporal gyrus. Abnormal frequencies in default-mode (DMN), sensorimotor, attentional, and frontal networks were detected. Functional connectivity was disrupted (aka decreased) in 6 network pairs: DMN-basal ganglia, attention-sensorimotor, frontal-DMN, attention-sensorimotor, attention-frontal, and sensorimotor-sensorimotor."" ","""The following neuropsychological tests were administered to the TBI subjects by a trained neuropsychologist: California Verbal Learning Test II (CVLT-II) [25], Wisconsin Card Sorting Test (WCST) [26], Neurobehavioural Symptom Inventory (NSI) [27], Beck Depression Inventory II (BDI-II) [28], Digit Span (DS), Digit Symbol Test, Trail Making Test A (numbers only; TMT-A), Trail Making Test B (numbers and letters; TMT-B), Paced Auditory Serial Addition Test (PASAT), Wechsler Test of Adult Reading (WTAR), Controlled Oral Word Association Test (COWAT), and Stroop Test (ST) [29]."" ""Neurobehavioural Symptom Inventory and Beck Depression Inventory II data classified the mTBI group as having moderate-to-severe post-concussive symptoms and moderate depression, respectively"" + impairment on cognitive processes such as attention and processing speed. ","""The results suggest white matter disruption across certain attentional networks and that the temporo-parietal junctions may be compensating for damage in other cortical regions.""",purely blast wave encounters for the injuries,,
21,23,"Grossner (2019), Pennsylvania, USA",No significant differences within VN Visual,CIVILIAN (i think) moderate to severe TBI individuals,Moderate/Severe,"ADULT n=21, MAge: 32.9, 12 Males","Subacute/Chronic (mean 49.9 months, 2mo-22years)",CSX,"HC n=23, Mage: 36.9","2: Philips Achieve 3T scanner or a Siemens
Magnetom Trio 3T scanner","10 mins, fixate on a white
cross in the center of a black screen and asked to remain awake","""All preprocessing steps used SPM8. Using ArtRepair, bad slices were repaired using the art-slice procedure. Volumes were then slice-time corrected and realigned. Despiking eliminated artifacts using ArtRepair’s despike filter. Coregistration was done in SPM8 using each participant’s T1-weighted image and the mean functional image. This coregistered image was segmented in SPM8 to normalize the image into the Montreal Neurological Institute (MNI) space. These images were then resliced to 3 mm isotropic. To improve signal-to-noise ratio and reduce effects of anatomical differences, we applied a 6-mm isotropic smoothing filter to the normalized data. To address artifactual signal, time series from cerebrospinal fluid and cerebral white matter was sampled, averaged, and treated as regressors of no interest. The time series was then bandpass filtered from 0.01 to 0.12 Hz using the functional connectivity toolbox (CONN; https://www.nitrc.org/ projects/conn). Finally, as a step to address framewise motion, volume repair was performed using ArtRepair, and individuals with movement presented in greater than 20% of volumes were removed from the analysis.""",SPM8,within and between network functional connectivity,Graph,"First used a functionally defined atlas (Power et al., 2011) to define 264 regions of interest (ROIs) in the brain. From these regions, six subsystem networks were created, including two DMN networks (anterior and posterior), the attention network, the salience network, the frontoparietal control network, and a “residual” network.",TBI Group had signifantly higher intranetwork connectivity of attention network. ,"Metacognitive accuracy: Significant interaction between head injury status and internetwork connectivity between the anterior DMN and salience network on metacognitive accuracy. significant interaction between head injury status and
internetwork connectivity between the posterior DMN and salience network on metacognitive accuracy. For all
significant interactions, there were positive correlations for the relationship between connectivity and metacognitive accuracy in the TBI
group but negative slopes in the HC group.",Enhanced connectivity to both anterior and posterior regions within the DMN facilitates metacognitive accuracy postinjury. These findings are integrated into a larger literature examining network plasticity in TBI.,,,
