TBI (n),HC (n),WITHIN NETWORK FINDINGS,RESULT,TBI Class,Severity,Age,Chronicity,CSX/Long,Control Type,Scanner,,,,,Comp Type,,,,,,,
21,23,Sharp (2011) UK?,Increased FC in SMA than HC. Inverse correlation btw vmPFC and SMA FC (borderline relationship),Civilian (recurring symptoms from TBI follow-up clinics),All (18 mod/sev and 3 mild),"Adult 21, mean age: 37.57 ± 10.19 (16 male)",Chronic  (>6 months),CSX,"Healthy •Resting State) n = 23(12 M, mean age 35.2 ± 10.5, range: 20-58)   •Reference Networks) n = 19 (12 M, mean age 24.5 ± 2.75, age-range 21-30)    •DTI and Task-Based used separate controls as well","MRI data were obtained using a Philips (Best, The Netherlands) Intera 3.0 Tesla MRI scanner using Nova Dual gradients, a phased array head coil, and sensitivity encoding (SENSE) with an under-sampling factor of 2. Functional MRI images were obtained using a T2*-weighted gradient-echo echoplanar imaging (EPI) sequence with whole-brain coverage (TR/TE = 2000/30; 31 ascending slices with thickness 3.25 mm, gap 0.75 mm, voxel size 2.5×2.5×5 mm, flip angle 90°, field of view 280×220×123 mm, matrix 112×87).","closed, 10 min",,FMRIB Software Library,connectivity,ICA + Dual Regression,"DMN, frontoparietal, executive, visual, sensorimotor  generated from unique set of controls + ICA","TBI Patients demonstrate increased DMN connectivity at rest (PCC and preciuneus to rest of DMN.  Greater DMN conn correlated w/ fewer symptoms, less axonal damage.",Greater PCC <-> conn linked to faster reaction times + greater reported anxiety,"Increased DMN conn at rest in TBI patients is correlated with fewer symptoms and less damage as measured by DTI analysis, and therefore might be a compensatory response.","They mentioned the specific types of injury as determined by a neuroradiologist across the TBi sample: ""On initial CT imaging 11 patients had evidence of cerebral contusions, 10 had diffuse brain swelling, seven had skull fractures, six had either subdural or extradural haemorrhage, six had either intraventricular or subarachnoid haemorrhage and one patient had evidence of early hydrocephalus that was subsequently resolved.""",,
68,20,"van der Horn (2019) Groningen, Netherlands",No signficant difference for SMN,CIVILIAN prospectively enrolled from lv. 1 trauma center in Netherlands,Mild/Moderate,"ADULT n = 68, avg 44.3 (range 22-61), 60% male    (GCS: 63 mild, 5 mod)",Subacute (22-69 days),CSX + Long (93% of patients stayed for long),HC healthy controls," 3 Tesla Philips Intera Achieva MRI‐scanner (Philips Medical Systems, Best, The Netherlands)",closed eyes,,,,,,,,,,,
,,,No signficant difference for SMN,,,,Subacute/Chronic (61-207 days),,,,,,,,,,,,,,,
15,12,"Nathan (2015) Bethesda, MD USA",Increase FC in SM for the SMA,MILITARY Active duty military mTBI,Mild,"ADULT n=15, age=25.6+-4.4, all males",Subacute/Chronic (avg 147.21+-87.19 days post injury) -- only 1 Time point,CSX,"HC healthy controls) n=12, age=26.4+-5.8, male=9","3 T GE Healthcare, 32 channel","6 min, eyes closed",3D volume registrations to correct head movement using the middle volume of the RS series. Interpolation to correct slice time acquisition differences. first 3 time points discarded to account for magnetization steady state,"AFNI, FSL package, MELODIC tool",FC,ICA,DMN,"mTBI subjects had decrease in DMN connectivity within regions of the left inferior temporal gyrus, right precentral gyrus and left caudate. significant decrease in connectivity within the right inferior parietal lobule in the DMN network of the mTBI subjects. compared to control, mTBI group exhibited increased resting state spatial connectivity within the DMN in which there were several significant clusters in the left and right posterior cinculate, and temporal regions. Left cerebellum lobule VII and the right supplementary motor area in the mTBI group had sig higher connectivity. ","GOF analysis, ANOVA failed to show a significant difference btwn mTBI and control.
clinical neuropsych assessments: DMN connectivity maps of mTBI subjects in cerebellar and cortical regions correlated with neuropsych testing. ",,,,
35,35,"Shumskaya (2012) Nijmegen, Netherlands",Decreased FC (in motor-striatal ) in left pre-central gyrus within SMN,CIVILIAN ED patients with mTBI (GCS 13-15),Mild,"ADULT n = 35, mean age = 39 (18-60), Male = 22",Acute/Subacute (2-28 days),CSX,HC n = 35,Siemens 3T Trio,6 mins; eyes closed,"head motion correction, extraction of nonbrain tissue, spatial smoothing using a Gaussian kernel of 5-mm fullwidth at half-maximum, grand-mean intensity normalization of the entire dataset by a single multiplicative factor, and high-pass temporal filtering",FMRIB Software Library,connectivity,ICA,"16 networks from ICA incl. DMN, DAN, frontoparietal, executive function network, auditory network, sensorimotor cortex, visual cortex","mTBI Group: Decrease in FC within motor-striatal network, and cluster of increased FC in right frontoparietal network",Neuropsych performance,whole-brain functional connectivity is altered early (within 4 weeks) after MTBI,,,
,,,No signficant difference within the sensory-motor area SMN,,,,Acute/Subacute (2-28 days),,,,,,,,,,,,,,,
27,30,"Stevens (2012) Hartford, CT","Decreased intra-network FC for left Precentral and postcentral gyri (motor and somatosen), right superior/middle temporal gyri, and left caudate. Generally decreased FC of left sensorimotor",CIVILIAN ER patients,Mild,"ADULT n =  30, 2/3 M, mean age = 31.7 (13.94)",Subacute/Chronic (13-136 days post injury),CSX,"HEALTHY n = 30, age =  28.9 (9.92); 67 % male, age matched",Siemens Allegra 3T,"open, fixed gaze, 5:15 min","Rotational/Translational Correction + head cushion to prevent movement,  INRIAlign for realignment, normalization,  smoothed with an 8 mm FWHM Gaussian filter, data were reduced through two principal component analysis (PCA) data reduction stages",GIFT v1.3i toolbox implemented in Matlab,connectivity,"Group ICA, novel ""multivariate"" technique","Ventromedial Cortex Network, Visual, Limbic, Cinguloopercular, motor/task, frontoparietal, DMN, working memory left frontoparietal, frontostriatal, Secondary visual processing","mTBI patients demonstragte significant differences in all  15  ICA components/networks compsared to controls. (Fig  2)Furthermore,  differences in all 15 networks correlated w/  worse  PCS symptoms. (Fig 3)",Post-concussive syndrome complaints,,"Pretty extensive findings, seems broad/overzealous. Might serve however as an excellent baseline study for forming more specific hypotheses. ",,
,,,Increased intra-network FC for cingulate gyrus. Sensorimotor,,,,Subacute/Chronic (13-136 days post injury),,,,,,,,,,,,,,,
21,21,"Rigon (2016) IA, USA",No significant differences within SMN,CIVILIAN chronic mild-to-severe TBI patients,All ,"ADULT n=21, mean age = 51.76, 11M",Chronic (at least 8.6mo),CSX,HC n=21,Siemens Magneto TIM Trio 3T,"6min, eyes closed","motion correction, spatial smoothing",FMRIB Software Library - FSL 5.0.4,connectivity,Seed-based,"Fronto-parietal network (FPN), DMN, Executive control network, SMN; Harvard-Oxford Cortical and
Subcortical Structural Atlases in the FSL analysis package","(1) Significantly less inter-hemispheric FC in TBI patients for EONs (FPN and ECN), but not for the DMN and the SMN. (2) Performance on a neuropsychological test positively correlated with FC between
the right FPN and homologous regions",Neuropsych performance (ROCFT),,,,
50,43,"Li (2020b) Nanjing, China",No signficant difference within SMN,(Civilian) ED patients with mTBI,Mild,"Adult n=53, age: 20-58 years , 28 females",Acute (within 7 days),CSX,"Healthy n=43, age: 41.65 (7.87), 24 female","3.0 T MRI scanner (Ingenia, Philips)","8 min and 6 s, eyes closed","slice-timing corrected and calibrated for head motion correction. Participant data demonstrating head movement >2.0 mm translation or >2.0° rotation were excluded from
the analysis. The rest of the dataset was spatially normalized to a template from the Montreal Neurological Institute (resampled voxel size = 3×3 × 3 mm3), followed by a 6-mm spatial sequence with a
Gaussian smoothing kernel. Finally, several sources of spurious variances were removed by linear regression, which included six head motion parameters, and average signals from white matter, cerebrospinal fluid, and whole brain.",DPABI_ V4.3_200301,FC,ICA,"Among the 34 components resulting from ICA, selected 13 components (7 nonartifactual RSNs). AN, attention network; CN, cerebellum network; DMN, default mode network; ECN, executive control network; SMN, sensorimotor network; SN, salience network; VN, visual network","WITHIN: Significant differences between the mTBI and HC groups were found within five RSNs, including the SN, DMN, ECN, VN, and CN. mTBI group exhibited decreased FC within the SN (right insula [R_ insula]), ECN (left superior parietal lobe [L_SPL] and left superior frontal gyrus [L_SFG]), VN (right precuneus [R_precuneus]), and CN (right cerebellum anterior lobe [R_CAL]). Moreover, there was increased FC in the right middle frontal gyrus (R_MFG) in the DMN in the mTBI group compared with the HC group. BETWEEN: the mTBI group exhibited significantly decreased negative interactions in three RSN connections, including the SN-CN connection, VN-SMN connection, and ECNDMN connection.",d,,,,HH
13,50,"Vakhtin (2016) Albuquerque, NM",Decreased FC within (SMN),Military (veterans with blast related mTBI),Mild,"Adult n = 34.3 ±6.6 years, male",Not Specified,CSX,"Healthy n = 50, 29.7 ±8.4 yrs, male (control from Allen (2011))",3-Tesla Siemens Trio,"5m 34s, eyes open on cross",same as Allen (2011),same as Allen (2011),"FC mostly. Specifically.. 3 fMRI domains: blood oxygenation level-dependent spatial maps, time course spectra, and functional connectivity",ICA  (GIFT software),"28 networks across brain (6 sensorimotor, 6 attention, 6 visual, 4 frontal, 4 default-mode (DMN), auditory, and the basal ganglia networks.)","""The mTBI group exhibited hyperactivity in the temporo-parietal junctions and hypoactivity in the left inferior temporal gyrus. Abnormal frequencies in default-mode (DMN), sensorimotor, attentional, and frontal networks were detected. Functional connectivity was disrupted (aka decreased) in 6 network pairs: DMN-basal ganglia, attention-sensorimotor, frontal-DMN, attention-sensorimotor, attention-frontal, and sensorimotor-sensorimotor."" ","""The following neuropsychological tests were administered to the TBI subjects by a trained neuropsychologist: California Verbal Learning Test II (CVLT-II) [25], Wisconsin Card Sorting Test (WCST) [26], Neurobehavioural Symptom Inventory (NSI) [27], Beck Depression Inventory II (BDI-II) [28], Digit Span (DS), Digit Symbol Test, Trail Making Test A (numbers only; TMT-A), Trail Making Test B (numbers and letters; TMT-B), Paced Auditory Serial Addition Test (PASAT), Wechsler Test of Adult Reading (WTAR), Controlled Oral Word Association Test (COWAT), and Stroop Test (ST) [29]."" ""Neurobehavioural Symptom Inventory and Beck Depression Inventory II data classified the mTBI group as having moderate-to-severe post-concussive symptoms and moderate depression, respectively"" + impairment on cognitive processes such as attention and processing speed. ","""The results suggest white matter disruption across certain attentional networks and that the temporo-parietal junctions may be compensating for damage in other cortical regions.""",,,
21,23,"Grossner (2019), Pennsylvania, USA",No signficant differences within sensorimotor network (SMN),CIVILIAN (i think) moderate to severe TBI individuals,Moderate/Severe,"ADULT n=21, MAge: 32.9, 12 Males","Subacute/Chronic (mean 49.9 months, 2mo-22years)",CSX,"HC n=23, Mage: 36.9","2: Philips Achieve 3T scanner or a Siemens
Magnetom Trio 3T scanner","10 mins, fixate on a white
cross in the center of a black screen and asked to remain awake","""All preprocessing steps used SPM8. Using ArtRepair, bad slices were repaired using the art-slice procedure. Volumes were then slice-time corrected and realigned. Despiking eliminated artifacts using ArtRepair’s despike filter. Coregistration was done in SPM8 using each participant’s T1-weighted image and the mean functional image. This coregistered image was segmented in SPM8 to normalize the image into the Montreal Neurological Institute (MNI) space. These images were then resliced to 3 mm isotropic. To improve signal-to-noise ratio and reduce effects of anatomical differences, we applied a 6-mm isotropic smoothing filter to the normalized data. To address artifactual signal, time series from cerebrospinal fluid and cerebral white matter was sampled, averaged, and treated as regressors of no interest. The time series was then bandpass filtered from 0.01 to 0.12 Hz using the functional connectivity toolbox (CONN; https://www.nitrc.org/ projects/conn). Finally, as a step to address framewise motion, volume repair was performed using ArtRepair, and individuals with movement presented in greater than 20% of volumes were removed from the analysis.""",SPM8,within and between network functional connectivity,Graph,"First used a functionally defined atlas (Power et al., 2011) to define 264 regions of interest (ROIs) in the brain. From these regions, six subsystem networks were created, including two DMN networks (anterior and posterior), the attention network, the salience network, the frontoparietal control network, and a “residual” network.",TBI Group had signifantly higher intranetwork connectivity of attention network. ,"Metacognitive accuracy: Significant interaction between head injury status and internetwork connectivity between the anterior DMN and salience network on metacognitive accuracy. significant interaction between head injury status and
internetwork connectivity between the posterior DMN and salience network on metacognitive accuracy. For all
significant interactions, there were positive correlations for the relationship between connectivity and metacognitive accuracy in the TBI
group but negative slopes in the HC group.",Enhanced connectivity to both anterior and posterior regions within the DMN facilitates metacognitive accuracy postinjury. These findings are integrated into a larger literature examining network plasticity in TBI.,,,
47,47,"Vergara (2017) NM, USA",No signficant diff within SMN,CIVILIAN mTBI emergency room patients,Mild,"ADULT n=50, 25 females, mean age 27.9 ± 9.2",Subacute (probably - within 21 days of injury),CSX,HEALTHY n=50,3 Tesla Siemens Trio,"5-min, stare at cross","Data were pre-processed using statistical parametric mapping34 (http://www.fil.ion.ucl.ac.uk/spm) including slice-timing correction, realignment, co-registration, spatial normalization, and then transformed to the Montreal Neurological Institute standard space at a resolution of a 3 · 3 · 3 mm3 . Despiking consisted of the orthogonalization with respect to spike regressors. Each spike is represented by an independent regressor valued one at the spike time point and zero everywhere else. The DVARS method35 was used to find spike regressors where the root mean square exceeded three standard deviations. Time courses were also orthogonalized with respect to the following: (1) linear, quadratic, and cubic trends; (2) the six realignment parameters; (",SPM,FC,gICA,"43 non-artifactual RSNs from ICA. 10 groups: subcortical, auditory, sensorimotor, cerebellum, visual, salience, executive control, default mode network (DMN), precuneus and language","TBI group demonstrated increased connectivity between DMN (left angular gyrus) and posterior precuneus. Also, significant increase in rsFNC between cerebellum versus sensorimotor networks and between left angular gyrus versus precuneus.",NA,,re-analysis of published data,,
47,30,"Hou (2019) Malvern, PA",No signficant differences in the SMN,CIVILIAN recruited from the R Adams Cowley Shock Trauma Center at the University of Maryland Medical Cente,Mild,"ADULT Forty-seven mTBI patients (41.7 ± 17.3 years, 34 M/13 F) ","Acute/Subacute (mean 7 days, 0-10 days)",CSX (Longitudinal Symptom Follow up found that that conn differences were associated with worse outcome),"HC Thirty neurologically intact subjects (40.2 ± 18.4 years, 18 M/12 F) ",Siemens Tim-Trio 3T MRI scanner,"Eyes closed, resting.       ""For the resting state functional MRI (fMRI) scan, T2*-weighted images were acquired using a single-shot echo-planar imaging sequence (TE = 30 msec, TR = 2000 msec, FOV = 230 mm, resolution = 64 × 64) with 36 axial slices (slices thickness = 4 mm) over 5 min 42 sec that yielded 171 volumes after discarding the first three volumes to minimize steady state effects.""","Slice timing correction, registration of all 171 volumes to first time series volume, ""normalization to percent signal change, spatial smoothing (6 mm Gaussian Kernel), and band pass filtering (0.00 5Hz < f < 0.1 Hz). "" "" Resting state BOLD data was spatially normalized to Talairach space using the transformation matrix from the registration of the T1-MPRAGE to the TT_N27 Talairach template within AFNI (Talairach and Tournoux, 1988). Resting state BOLD data was spatially resampled to 2mm isotropic resolution.""",AFNI,static + dynamic functional connectivity,"ICA -> graph (shortest path SP, clustering coefficient CC, average weight of minimum spanning trees MST","Global, + sub-networks (not listed)","""Post-hoc t-tests revealed that PCS+ patients have larger MST compared to both the HC population (p = 0.014) and the PCS− patients (p = 0.019). ""  ""Specifically, PCS+ patients have larger static MST and SP compared to both the controls and PCS− patients."" ""mTBI patients with chronic symptoms have slower dynamic functional connectivity as evidenced by a reduced dynamic SP and dynamic CC compared to the control group and PCS− patients (Fig. 5 and Table 3)."" ",,,,,
15,15,"Clough (2018), Victoria, AUS",No signficant difference within SMN,SPORTS asymptomatic amateur Australian rules footballers with a history of sports-related concussion (SRC),Mild,"ADULT n=15, age=24.3 ± 0.9, 15 males",Chronic (greater than 6 months and asymptomatic),CSX,NCC no contact sport control n=15,3T Magnetom Prisma,eyes closed; 7 min 35 sec,"FSL package and included skull stripping (Brain Extraction Tool), interleaved slice timing correction and motion correction (MCFLIRT algorithm), spatial smoothing (6mm full width at half maximum), and temporal high-pass filtering (>0.01 Hz) to eliminate low-frequency artifacts",In house pipeline,Connectivity,ROItoROI,"40 cortical regions related to seven resting-state networks (RSNs): visual, somatomotor, dorsal attention, ventral attention, limbic, frontal-parietal, and default mode","There were no significant group differences on functional connectivity, computed from rs-fMRI-derived BOLD signals, for all seven networks (p > 0.05; Table 3).",Oculomotor Cognitive Control Abnormalities,,,,
24,44,"Meier (2017) Wisconsin, USA",Increased FC within network (between right motor cortex to bilateral SMA and the paracentral lobule) (within sensorimotor),Sport College football athletes with TBI history,mild,"ADULTS n=25, age: 21.0 (1.5), all male","Subacte/Chronic (1-42 months, median 5mo)",CSX,"Mixed n=27 male noncontact sport athletes and
non-athletes were recruited as an additional control group (HC) (NCC and HC)",General Electric Healthcare Discovery MR750 3-Tesla,"6 min, fixate on a
cross and think of nothing in particular","Despiking, Slice-time correction, spatial smoothing, motion correction, bandpass filtering, ",AFNI,FC,Seed-based,"vmPFC (pregenual anterior cingulate cortex (pgACC) and the OFC), Right Motor Cortex, (CA2-3/DG) of the hippocampus; all identified as significant clusters from cortical thickness analysis","Football players with a history of concussion (median 5 months prior to scanning) had increased connectivity between the right motor cortex to bilateral supplementary motor areas and the paracentral lobule relative to football players without a concussion history and non-football players. Football players, both with and without a history of concussion, had, relative to non-football players, increased connectivity of the left OFC to the right middle and inferior frontal gyri, as well as left CA2-3/DG of the hippocampus to the MCC and PCC extending into the right precuneus (PCUN).","The ratio of plasma concentrations of kynurenic acid to quinolinic acid (KYNA/QUIN) and left pregenual anterior cingulate cortex connectivity to multiple regions as well as KYNA/QUIN and right CA2-3/DG connectivity to multiple regions differed significantly according to football and concussion history. See section ""Interaction of neuroprotective indices and group on fcMRI"" on page 5.","The results suggest that football exposure with and without concussion history can have a significant effect on intrinsic brain connectivity, especially in regions important in the DMN.",,,
